                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4348,                 2.5126,                 1.7013,                0.76757,                0.15129,                0.08584,                0.03943,                 1.6995,                 3.0211,                 2.1361,             0.00047272,             0.00047272,             0.00047272
                      2,                 1.4826,                 2.1037,                 1.7278,                 0.8321,                  0.142,                0.13174,                0.04871,                 2.1491,                 2.5347,                 2.7069,             0.00088642,             0.00088642,             0.00088642
                      3,                 1.5645,                 2.0357,                 1.7894,                 0.8297,                  0.126,                0.12415,                0.05548,                 1.9719,                 2.3534,                 2.4209,              0.0012372,              0.0012372,              0.0012372
                      4,                 1.5494,                 1.9022,                   1.78,                0.80179,                0.13359,                0.12757,                0.05909,                 1.9128,                 2.5136,                  2.415,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.5098,                 1.8443,                 1.7523,                0.88148,                0.17491,                0.19169,                0.10034,                 1.6899,                 1.6761,                 2.0362,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.5196,                 1.7173,                 1.8725,                0.87591,                0.18795,                0.19499,                0.10232,                 1.6661,                 1.7061,                 2.0328,              0.0010517,              0.0010517,              0.0010517
                      7,                 1.4538,                 1.5696,                 1.8033,                0.87632,                0.20396,                0.20989,                  0.115,                 1.5737,                 1.7172,                 1.9488,             0.00095743,             0.00095743,             0.00095743
                      8,                 1.3864,                 1.4399,                  1.723,                0.89239,                0.17767,                0.20133,                0.11391,                 1.5554,                 1.6167,                 1.9233,             0.00086312,             0.00086312,             0.00086312
                      9,                  1.337,                 1.3381,                 1.6874,                0.57599,                0.19285,                0.21793,                0.12387,                 1.4634,                 1.6171,                  1.831,              0.0007688,              0.0007688,              0.0007688
                     10,                 1.2559,                 1.2559,                 1.6003,                0.61928,                0.20598,                0.25323,                 0.1573,                 1.3254,                 1.2032,                 1.6462,             0.00067449,             0.00067449,             0.00067449
                     11,                 1.2206,                 1.1626,                 1.5775,                0.60226,                0.22587,                0.25807,                0.16386,                 1.2842,                 1.1818,                 1.6379,             0.00058017,             0.00058017,             0.00058017
                     12,                 1.1772,                 1.1125,                 1.5416,                0.93548,                0.24315,                0.26722,                0.17292,                  1.256,                 1.0939,                 1.5783,             0.00048586,             0.00048586,             0.00048586
                     13,                 1.0961,                 1.0594,                 1.4776,                0.60954,                0.24399,                0.27439,                0.17952,                 1.2083,                 1.0271,                 1.5492,             0.00039155,             0.00039155,             0.00039155
                     14,                 1.0356,                0.96782,                 1.4256,                0.94464,                0.24399,                0.27863,                0.18421,                 1.1613,                 1.0101,                 1.5038,             0.00029723,             0.00029723,             0.00029723
                     15,                 1.0073,                0.92947,                 1.4117,                0.94683,                0.25959,                0.28565,                 0.1932,                 1.1197,                0.95891,                 1.4618,             0.00020292,             0.00020292,             0.00020292
